gene	Esophagus...Mucosa	Pancreas	Pituitary	Whole.Blood	Cells...Transformed.fibroblasts	Minor.Salivary.Gland	Lung
ENSG00000173275.8	2.912	3.7315	5.085	0.7137	6.738	4.885	6.864
ENSG00000229015.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000178947.8	1.989	2.094	7.873	0.1001	0.1512	1.71	1.739
ENSG00000201440.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000225769.1	0.001	0.001	0.005747	0.001	0.001	0.001	0.001
ENSG00000271158.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000225235.1	0.1136	0.001	0.3994	0.001	0.1854	0.105	0.1006
ENSG00000165359.10	10.93	2.5945	24.27	5.295	6.714	14.16	14.77
ENSG00000264284.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000237833.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000224539.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000198022.6	0.001	0.001	0.05482	0.001	0.001	0.001	0.001
ENSG00000232478.4	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000242185.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000232417.5	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000233861.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000238200.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000228836.4	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000242284.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000226907.4	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000181433.5	0.001	0.001	0.2028	0.001	0.001	0.02414	0.001
ENSG00000230162.1	0.1156	0.040975	0.2363	0.1582	0.126	0.08731	0.2581
ENSG00000169446.4	15.29	8.3365	17.62	9.75	29.38	16.53	25.07
ENSG00000198689.5	9.974	2.5575	13.99	4.123	16	8.863	11.3
ENSG00000219930.4	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000231513.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000239080.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000022267.12	69.44	5.3395	82.55	3.334	60.81	37.71	276.8
ENSG00000129680.11	3.306	1.0745	6.378	0.9886	17	2.959	8.133
ENSG00000230079.1	0.03099	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000156920.6	0.01297	0.002526	0.01168	0.001	0.005988	0.001	0.159
ENSG00000266272.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000102239.4	0.001	0.044105	0.1065	0.001	0.001	0.001	0.001
ENSG00000102241.7	36.28	16.125	260.6	6.13	54.72	36.7	41.5
ENSG00000102243.8	0.7306	0.17455	1.081	0.001	0.001	3.894	1.01
ENSG00000216060.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000199424.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000252320.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000233093.1	0.3136	0.001	0.07306	0.7003	0.001	0.2454	1.092
ENSG00000102245.3	0.4766	0.041075	0.09451	5.546	0.001	0.2908	2.782
ENSG00000129675.11	4.025	1.723	8.961	19.21	15.02	6.664	27.26
ENSG00000212510.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000271339.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000231164.1	0.001	0.001	0.001	0.001	0.1197	0.0706	0.06658
ENSG00000225125.2	0.8493	0.7927	5.267	0.1377	1.183	2.067	3.096
ENSG00000202279.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000232611.1	1.33	0.8788	5.802	0.3761	1.152	1.738	3.981
ENSG00000225400.1	2.304	1.5595	10.89	1.015	2.004	2.975	6.909
ENSG00000147274.10	50.91	38.365	78.18	20.99	73.12	66.53	77.05
ENSG00000206979.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000234062.3	1.658	0.7115	5.384	0.243	0.8519	2.011	3.175
ENSG00000232379.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000241150.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000237307.2	0.05596	0.04138	0.07314	0.001	0.04339	0.09203	0.08292
ENSG00000263845.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000165370.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000214748.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000237584.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000224765.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000156925.7	0.001	0.001	1.048	0.001	0.001	0.001	0.001
ENSG00000239579.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000229562.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000222114.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000252163.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000183981.7	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000214930.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000232183.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000129682.9	0.9299	0.3105	4.183	1.021	0.4601	5.212	2.523
ENSG00000207800.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000226031.1	0.1079	0.001	1.657	0.1425	0.001	0.1775	0.4057
ENSG00000235975.1	0.001	0.001	0.001	0.001	0.001	0.2027	0.001
ENSG00000173954.7	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000232549.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000101981.6	0.001	0.001	0.01271	0.001	0.001	0.001	0.001
